

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
468.233  000.287  000.287: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/syntax/syncolor.vim
474.761  008.451  007.765: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/colors/gruvbox.vim
475.015  008.990  000.539: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/syntax/synload.vim
475.118  009.674  000.684: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/syntax/syntax.vim
475.150  456.397  191.230: sourcing /Users/paddy/.SpaceVim/config/main.vim
475.185  457.306  000.908: sourcing /Users/paddy/.config/nvim/init.vim
475.203  000.562: sourcing vimrc file(s)
478.079  000.928  000.928: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline.vim
480.300  000.894  000.894: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/init.vim
482.289  000.389  000.389: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/autoload/airline/parts.vim
483.301  006.880  004.669: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline/plugin/airline.vim
483.812  000.108  000.108: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimproc.vim/plugin/vimproc.vim
486.848  001.019  001.019: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Raimondi/delimitMate/autoload/delimitMate.vim
489.849  005.657  004.637: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Raimondi/delimitMate/plugin/delimitMate.vim
490.274  000.028  000.028: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/vim-airline/vim-airline-themes/plugin/airline-themes.vim
491.045  000.250  000.250: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/plugin/unite/bookmark.vim
491.699  000.274  000.274: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/plugin/unite/buffer.vim
492.131  000.133  000.133: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/plugin/unite/window.vim
492.608  000.211  000.211: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/plugin/unite.vim
493.408  000.336  000.336: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/neomake/neomake/plugin/neomake.vim
494.649  000.754  000.754: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/vimfiler.vim/plugin/vimfiler.vim
495.174  000.037  000.037: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/sbdchd/neoformat/plugin/neoformat.vim
495.701  000.111  000.111: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/denite.nvim/plugin/denite.vim
502.743  006.621  006.621: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/tpope/vim-fugitive/plugin/fugitive.vim
503.286  000.099  000.099: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/lymslive/vimloo/plugin/micros.vim
503.719  000.101  000.101: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/lymslive/vimloo/plugin/vimloo.vim
512.124  007.441  007.441: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/NERD_commenter.vim
512.550  000.078  000.078: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/automkdir.vim
513.125  000.200  000.200: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/cscope.vim
514.929  000.690  000.690: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/autoload/ctrlp/mrufiles.vim
515.285  001.788  001.098: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/ctrlp.vim
517.144  000.917  000.917: sourcing /Users/paddy/.cache/vimfiles/repos/github.com/Shougo/unite.vim/autoload/unite.vim
517.266  001.621  000.703: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/dwm.vim
517.749  000.100  000.100: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/gist.vim
518.187  000.075  000.075: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/github.vim
518.888  000.335  000.335: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/giti.vim
519.316  000.080  000.080: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/gtags.vim
519.565  000.026  000.026: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/haskellimport.vim
520.436  000.506  000.506: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/multiple_cursors.vim
521.171  000.344  000.344: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/neomru.vim
521.575  000.143  000.143: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/neoyank.vim
522.010  000.155  000.155: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/ref.vim
522.625  000.349  000.349: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/rooter.vim
525.012  002.070  002.070: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/scriptease.vim
525.665  000.354  000.354: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/signify.vim
526.179  000.199  000.199: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/startify.vim
527.877  001.393  001.393: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/surround.vim
529.827  001.588  001.588: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/tagbar.vim
530.336  000.144  000.144: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/unite/session.vim
530.776  000.082  000.082: sourcing /Users/paddy/.cache/vimfiles/.cache/init.vim/.dein/plugin/unite_file_vcs.vim
531.842  000.372  000.372: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/gzip.vim
532.277  000.046  000.046: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/health.vim
532.942  000.275  000.275: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/man.vim
534.672  001.369  001.369: sourcing /usr/local/Cellar/neovim/0.1.7/share/nvim/runtime/plugin/matchit.vim
